original_query,cleaned_query,keyword_query,rewritten_query,baseline_top1_doc,baseline_top1_score,rewritten_top1_doc,rewritten_top1_score,score_improvement
bhai scholarship ke liye eligibility kya hai for undergrad admission,scholarship eligibility undergrad admission,scholarship eligibility undergrad admission,scholarship eligibility undergrad admission,scholarship_eligibility,0.451589,scholarship_eligibility,0.685209,+0.233620
mujhe admission form apply kaise karna hai aur last date kab hai,mujhe admission form apply kaise last date kab,mujhe admission form apply kaise last date kab,mujhe admission form apply kaise last date kab,required_documents,0.503434,required_documents,0.472308,-0.031126
fees structure private college ka approx kitna hota hai and any government seat?,fees structure private college approx kitna hota any government seats,fees structure private college approx kitna hota any government seats,fees structure private college approx kitna hota any government seats,fees_and_seats,0.615928,fees_and_seats,0.721345,+0.105416
documents kya chahiye for admission like certificate waghera,docs chahiye admission certificate waghera,documents chahiye admission certificate waghera,documents chahiye admission certificate waghera,required_documents,0.643221,required_documents,0.599983,-0.043238
cutoff kaise calculate hota hai merit list me,cutoff kaise calculate hota merit list,cutoff kaise calculate hota merit list,cutoff kaise calculate hota merit list,cutoff_and_merit,0.535761,cutoff_and_merit,0.600993,+0.065232
rag pipeline kya hota hai retrieval augmented generation simple explain,rag pipeline hota retrieval augmented generation simple explain,rag pipeline hota retrieval augmented generation simple explain,rag pipeline hota retrieval augmented generation simple explain,rag_basics,0.524071,rag_basics,0.546686,+0.022615
faiss index build ka best way kya hai for sentence embeddings,faiss index build best way sentence embeddings,faiss index build best way sentence embeddings,faiss index build best way sentence embeddings,faiss_dense_retrieval,0.430680,faiss_dense_retrieval,0.566272,+0.135592
Admission process ka pura step kya hota hai from registration to counselling?,admission process pura step hota registration counselling,admission process pura step hota registration counselling,admission process pura step hota registration counselling,required_documents,0.576129,admission_process,0.585238,+0.009109
Agar income certificate nahi hai to scholarship milegi ya nahi?,agar income certificate nahi scholarship milegi,agar income certificate nahi scholarship milegi,agar income certificate nahi scholarship milegi,required_documents,0.476562,scholarship_eligibility,0.540733,+0.064172
Private college me fees zyada hoti hai ya govt me?,private college fees zyada hoti govt,private college fees zyada hoti govt,private college fees zyada hoti govt,fees_and_seats,0.481966,fees_and_seats,0.597660,+0.115694
Merit list kab nikalti hai aur cutoff kaise decide hota hai?,merit list kab nikalti cutoff kaise decide hota,merit list kab nikalti cutoff kaise decide hota,merit list kab nikalti cutoff kaise decide hota,cutoff_and_merit,0.429389,cutoff_and_merit,0.488957,+0.059568
Form bharte time kaunse documents scan karke rakhne chahiye?,form bharte time kaunse docs scan karke rakhne chahiye,form bharte time kaunse documents scan karke rakhne chahiye,form bharte time kaunse documents scan karke rakhne chahiye,required_documents,0.449658,required_documents,0.437575,-0.012084
